address,name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
"17/3, Ground Floor, Cambridge Road, Opposite FAPS, Ulsoor, Bangalore",The Cake House,Yes,No,3.7,30,Ulsoor,Bakery,"Bakery, Fast Food",300,Delivery,Old Airport Road
"3, HAL 2nd Stage, 80 Feet Road, Indiranagar, Bangalore",Oye Amritsar,Yes,Yes,3.9,1488,Indiranagar,Casual Dining,North Indian,600,Delivery,Old Airport Road
"462, Sree Krishna Temple Road, Off 100 Feet Road, Indiranagar, Bangalore",Srinathji's,Yes,Yes,3.6,598,Indiranagar,Casual Dining,"Street Food, Chinese, Italian, North Indian",800,Delivery,Old Airport Road
"2017, Near Reebok Showroom, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",Little Italy,Yes,Yes,4.2,3305,Indiranagar,Casual Dining,"Italian, Pizza, Mexican",1400,Delivery,Old Airport Road
"33/4, Narayanamma Garden, 8th Cross, Konen Agrahara, Murugeshpalya, Old Airport Road, Bangalore",Le Gateau - The Cake Shop,Yes,No,4.4,542,Old Airport Road,Delivery,"Desserts, Bakery",600,Delivery,Old Airport Road
"40 9th Cross Road, HAL 3rd stage, Puttappa Layout, New Tipsandra, Old Airport Road, Bangalore",Crispy Fried Chicken,Yes,No,3.3,11,Old Airport Road,Quick Bites,"Burger, Fast Food",150,Delivery,Old Airport Road
"93/1, 3rd Cross, Annayappa Garden, Opposite BJP MLA Office, HAL 3rd Stage, New Thippasandra, Bangalore",Gooey & Fluffy,Yes,No,3.9,90,Thippasandra,Delivery,"Desserts, Bakery",200,Delivery,Old Airport Road
"Kaggadasapura, Bangalore",Foodmazic,No,No,3.7,17,Kaggadasapura,Quick Bites,"BBQ, Beverages, Burger, Rolls, Tea",200,Delivery,Old Airport Road
"Ground Floor, Food Court counter 1, Bagmane Tech Park, CV Raman Nagar, Bangalore",Domino's Pizza,Yes,No,3.0,7,CV Raman Nagar,Quick Bites,"Pizza, Fast Food",400,Delivery,Old Airport Road
"Shop 1, Road 5, Talkaveri Layout, Opposite Basavanagar Bus Stop, Marathahalli, Bangalore",Thanco's Naturals Ice Cream,Yes,No,3.6,21,Marathahalli,Dessert Parlor,"Ice Cream, Desserts",450,Delivery,Old Airport Road
"46, Opposite BSNL Office, 80 Feet Road, Indiranagar, Bangalore",Tayabbs,Yes,No,4.0,739,Indiranagar,Quick Bites,"Rolls, North Indian, Fast Food",500,Delivery,Old Airport Road
"4050, Ground Floor, 19th Main, HAL 2nd Stage, Indiranagar, Bengaluru",Stuffd,Yes,No,3.8,33,Old Airport Road,"Takeaway, Delivery","Continental, North Indian",500,Delivery,Old Airport Road
"172/A, 1st Main, 2nd Cross, Indiranagar, Bangalore",Grubhouse,Yes,No,4.1,338,Indiranagar,"Casual Dining, Cafe","Cafe, Continental",800,Delivery,Old Airport Road
"614-615, 3rd Floor, 12th Main Road, 7th Cross, HAL 2nd Stage, Indiranagar, Bangalore",Bites 2 Binge,Yes,No,3.7,19,Indiranagar,Casual Dining,North Indian,750,Delivery,Old Airport Road
"92, 1st Floor, Doopanahalli Main Road, 15th Main, Hal 2nd Stage, Off Double Road, Indiranagar, Bangalore",Punjabi Dhaba,Yes,No,2.8,53,Indiranagar,Quick Bites,"North Indian, Chinese",300,Delivery,Old Airport Road
"158, Vignana Nagara Main Road, Kaggadasapura, Bangalore",3 Leafs,Yes,No,3.7,128,Kaggadasapura,Casual Dining,"North Indian, South Indian, Chinese",600,Delivery,Old Airport Road
"Near Bagmane Back Gate, Bayrasandra, CV Raman Nagar, Bangalore",Kalavara,No,No,3.4,14,CV Raman Nagar,Quick Bites,"South Indian, Kerala",150,Delivery,Old Airport Road
"Shop 20/1, Ground Floor, 4th Cross, Opposite Airtel Office, Thippasandra, Bangalore",Rotti Mane,Yes,No,3.6,18,Thippasandra,Quick Bites,South Indian,200,Delivery,Old Airport Road
"Ground Floor, Figure and Fitness Gym, ESI Hospital Road, Double Road, Stage 3, Indiranagar, Bangalore",UBCR,Yes,No,3.3,5,Indiranagar,Quick Bites,Fast Food,200,Delivery,Old Airport Road
"44, Byrasandra Road, GM Palya, CV Raman Nagar, Bangalore",Hotel Devanand Kerala Restaurant,Yes,No,3.4,94,CV Raman Nagar,Quick Bites,Kerala,300,Delivery,Old Airport Road
"307, 2nd Floor, 1st Stage, K.P. Square, 100 feet Road, Indiranagar, Bangalore",Pulimunchi,Yes,Yes,4.3,695,Indiranagar,Casual Dining,"Mangalorean, Seafood",1000,Delivery,Old Airport Road
"4, St Mary's Building, Appareadypalya, Stage 2, Indiranagar, Bangalore",World In A Bowl,Yes,No,2.9,40,Indiranagar,Delivery,"Continental, North Indian, Desserts, Beverages",600,Delivery,Old Airport Road
"12, CMH Road, Indiranagar, Bangalore",A2B - Adyar Ananda Bhavan,Yes,No,3.0,570,Indiranagar,Casual Dining,"South Indian, North Indian, Chinese, Street Food, Fast Food",400,Delivery,Old Airport Road
"51, Rama Temple Road, Near VRR Home, Chandra Layout, Ejipura, Bangalore",C Kosila Kitchen,Yes,No,3.1,8,Ejipura,Quick Bites,North Indian,300,Delivery,Old Airport Road
"2148, 17th Main, 2nd Cross, HAL 2nd Stage, Near 100 Feet Road, Indiranagar, Bangalore",Sethji Home Made Food,Yes,No,3.5,229,Indiranagar,Quick Bites,North Indian,350,Delivery,Old Airport Road
"80 Feet Road, HAL, Indiranagar, Bangalore",Chillikum,Yes,No,3.6,38,Indiranagar,Quick Bites,North Indian,350,Delivery,Old Airport Road
"1, Medison Complex, Near Leela Palace, Kodihalli, Old Airport Road, Bangalore",Rahhams,Yes,No,2.8,420,Old Airport Road,Casual Dining,"Mughlai, North Indian, Chinese",700,Delivery,Old Airport Road
"Pyramid Food Court, Embassy Golf Links, Domlur, Bangalore",The Ganache Factory,Yes,No,4.1,42,Domlur,"Dessert Parlor, Bakery","Desserts, Bakery",400,Delivery,Old Airport Road
"706, A/4 5th Cross Kodihalli, 80 Feet Road, Near Kodihalli Mazjid, Indiranagar, Bangalore",Bat Chef,Yes,No,2.6,27,Indiranagar,Quick Bites,Fast Food,500,Delivery,Old Airport Road
"275, Opposite E-Zone, 100 Feet Road, Indiranagar, Bangalore",Tunday Kababi,Yes,No,3.8,724,Indiranagar,Casual Dining,"Lucknowi, Mughlai",500,Delivery,Old Airport Road
"4062, 19th Main, Beside Carlton Tower, HAL 2nd Stage, Indiranagar, Bangalore",Kolkata Rolls & Hot Dum Biriyani On Dial,Yes,No,3.5,22,Indiranagar,Quick Bites,"Fast Food, Rolls",200,Delivery,Old Airport Road
"Amrutha Court, No 48/2A, 1st Cross, Opposite Hayagreeva School, Vignan Nagar, CV Raman Nagar, Bangalore",Biriyani Zone,Yes,No,3.7,22,CV Raman Nagar,Casual Dining,"Biryani, North Indian, Chinese, Seafood",800,Delivery,Old Airport Road
"1953, 4th Main Road, HAL 3rd Stage, Bhoomi Reddy Colony, New Tippasandra, Bangalore",The Spicy Kitchen,Yes,No,3.1,17,Thippasandra,Quick Bites,"Arabian, Rolls",300,Delivery,Old Airport Road
"12th Main, HAL 2nd Stage, ESI To Domlur, Service Road, Indiranagar, Bangalore",Kitchen of Joy,Yes,No,4.2,580,Indiranagar,Quick Bites,"Fast Food, Bengali, Rolls",400,Delivery,Old Airport Road
"4, St Mary's Building, 39/1, 2nd Stage, Indiranagar, Bangalore",Foreign Caf,Yes,No,3.1,54,Indiranagar,Delivery,Continental,500,Delivery,Old Airport Road
Delivery Only,Supreme Biryani,Yes,No,3.4,12,East Bangalore,Delivery,Biryani,500,Delivery,Old Airport Road
Delivery Only,Desi Chinese,Yes,No,3.6,37,East Bangalore,Delivery,"Chinese, North Indian",400,Delivery,Old Airport Road
"4, St Mary's Building, 39/1, 2nd Stage, Indiranagar, Bangalore",INDULGE by InnerChef,Yes,No,3.4,27,Indiranagar,Bakery,"Desserts, Bakery",400,Delivery,Old Airport Road
"38, 1st Floor, Opposite Indian Oil Petrol Pump, 10th Main, Jeevan Bhima Nagar, Bangalore",Bekal,Yes,No,4.0,282,Jeevan Bhima Nagar,Casual Dining,"Kerala, Mangalorean, Seafood",700,Delivery,Old Airport Road
"28th Cross, Ejipura Viveknagar Post, Near Mayura Garden Apartment, Ejipura",Mid Night Hunting,Yes,No,3.7,127,Ejipura,"Takeaway, Delivery","Fast Food, Italian",300,Delivery,Old Airport Road
"172/A, 1st Main Road, 2nd Cross,Domlur, 2nd Stage, Indiranagar, Bangalore",Singh Saab,Yes,No,3.7,244,Indiranagar,Casual Dining,"North Indian, Chinese, Mughlai",800,Delivery,Old Airport Road
"83/4,13th, Main Road, HAL 2nd Stage, Doopanahalli, Indiranagar, Bangalore",Shaap,Yes,No,4.0,241,Indiranagar,Casual Dining,"Kerala, Seafood",500,Delivery,Old Airport Road
"93/1, 3rd Cross, Annayappa Garden, Opposite BJP MLA Office, HAL 3rd Stage, New Thippasandra, Bangalore",Nutty Squirrel,Yes,No,3.6,12,Thippasandra,"Takeaway, Delivery","Ice Cream, Desserts",300,Delivery,Old Airport Road
"57, 2nd Floor, 100 Feet Road, Indiranagar, Bangalore",Peacock,Yes,Yes,4.0,861,Indiranagar,Casual Dining,"North Indian, BBQ, Mughlai",1200,Delivery,Old Airport Road
"HASB Khata 675/555, 10th Cross, Behind Airtel Office, Next To Ganesha Temple, New Thippasandra, Thippasandra",Snack'Ups,Yes,No,3.5,62,Thippasandra,Quick Bites,Fast Food,250,Delivery,Old Airport Road
"493, 13th Cross, 2nd Stage, Behind BDA Complex, Indiranagar, Bangalore",Fruit Face,Yes,No,3.7,24,Indiranagar,"Quick Bites, Beverage Shop","Fast Food, Street Food, Beverages",300,Delivery,Old Airport Road
"J B Nagar Main Road, HAL 3rd Stage, Jeevan Bhima Nagar, Bangalore",Laddoos,Yes,No,2.9,228,Jeevan Bhima Nagar,"Quick Bites, Dessert Parlor","North Indian, Street Food, Mithai",250,Delivery,Old Airport Road
"8, Old Binnamangala, Off 100 Feet Road, Indiranagar, Bangalore",Cake Palace,Yes,No,3.4,12,Indiranagar,Dessert Parlor,Bakery,100,Delivery,Old Airport Road
"Total Mall, Old Airport Road, Bangalore",McDonald's,Yes,No,3.0,167,Old Airport Road,Quick Bites,"Burger, Fast Food",500,Delivery,Old Airport Road
"806/1, Rajeshwari Business Chambers, New Thippasandra Main Road,Indiranagar, Bangalore",Kulcha Kulture,Yes,No,3.5,14,Indiranagar,Delivery,North Indian,400,Delivery,Old Airport Road
"7, 2nd Stage, CMH Road, Indiranagar, Bangalore",Kanti Sweets,Yes,No,4.0,125,Indiranagar,"Dessert Parlor, Quick Bites","Mithai, Street Food",400,Delivery,Old Airport Road
"136- C, Kagadasapura Main Road, Vignan Nagar, Kaggadasapura, Bangalore",Longlive Pizza,Yes,No,3.2,61,Kaggadasapura,"Takeaway, Delivery","Pizza, Fast Food",400,Delivery,Old Airport Road
"383, HAL 2nd Stage, Opposite Croma, 100 Feet Road, Indiranagar, Bangalore",Bite Me Cupcakes,Yes,No,4.2,631,Indiranagar,Dessert Parlor,Desserts,300,Delivery,Old Airport Road
"541, CMH Road, Indiranagar, Bangalore",Bhavani Sri,Yes,No,3.0,112,Indiranagar,Casual Dining,"Chinese, North Indian",600,Delivery,Old Airport Road
"22, Opposite Manjunatha Apartment, 5th Cross, Wind Tunnel Road, Murgeshpalya, Old Airport Road, Bangalore",Burger Bite House,Yes,No,3.1,4,Old Airport Road,Quick Bites,"Burger, Fast Food",500,Delivery,Old Airport Road
"1st Main, Vivekananda Layout, CKB Layout, Marathahalli, Bangalore",Panda Foods,Yes,No,3.5,15,Marathahalli,Quick Bites,"North Indian, Juices",300,Delivery,Old Airport Road
"45, 3rd Main Road Ashwini layout, Ejipura, Bangalore",Raj Rasoi,Yes,No,3.5,12,Ejipura,Quick Bites,"North Indian, Chinese",250,Delivery,Old Airport Road
"97, LIC Colony, 10th Sector, Jeevan Bhima Nagar, Bangalore",Swaad,Yes,No,3.2,30,Jeevan Bhima Nagar,Quick Bites,North Indian,200,Delivery,Old Airport Road
"706 A/4, 5th Cross, 80 Feet Road, Near Kodihalli Masjid, Old Airport Road, Bangalore",The Kitchen Chef,Yes,No,3.0,98,Old Airport Road,Delivery,"Fast Food, North Indian, Chinese",500,Delivery,Old Airport Road
"100 Feet Road, Beside Park Avenue Showroom, Indiranagar, Bangalore",Umami & Beyond,Yes,No,3.7,24,Indiranagar,"Takeaway, Delivery","Continental, Healthy Food, Beverages",400,Delivery,Old Airport Road
"153, Ground Floor, 9th Cross, Indiranagar, Bangalore",Food Town,Yes,No,3.2,5,Indiranagar,Delivery,Chinese,200,Delivery,Old Airport Road
"46, 9th Main Road, 80 Feet Road, HAL 3rd Stage, Indiranagar, Bangalore",Wangs Kitchen,Yes,No,2.5,56,Indiranagar,"Takeaway, Delivery",Chinese,700,Delivery,Old Airport Road
"Plot 607, 1st Floor, Trifecta Douillet, 12th Main Road, HAL II Stage, Indiranagar, Bangalore",Copper Chimney,Yes,Yes,4.2,97,Indiranagar,Casual Dining,"North Indian, Biryani",1200,Delivery,Old Airport Road
"Location Varies, 17, 5th Main Road, NAL Colony, Jeevan Bhima Nagar, Bangalore",S.W.A.T Food Truck,Yes,No,3.7,217,East Bangalore,Food Truck,"American, Fast Food",450,Delivery,Old Airport Road
"3rd Cross, Church Road, HAL Road, Murugeshpalya, Old Airport Road, Bangalore",Juicy,Yes,No,3.8,80,Old Airport Road,Beverage Shop,"Beverages, Juices, Fast Food",200,Delivery,Old Airport Road
"3523,14th A Main, Hal 2nd Stage, Indiranagar, Bangalore",Shake It Off,Yes,No,4.2,164,Indiranagar,Quick Bites,"Beverages, Fast Food",600,Delivery,Old Airport Road
"3, 2nd Stage, 80 Feet Road, HAL, Indiranagar, Bangalore",Mad Over Biryani,Yes,No,3.5,10,Indiranagar,Quick Bites,"North Indian, Biryani",600,Delivery,Old Airport Road
"12th Main Road, Indiranagar, Bangalore",Ciclo Cafe,Yes,No,4.3,1331,Indiranagar,"Cafe, Casual Dining","Cafe, Italian, American",1000,Delivery,Old Airport Road
"2, Kempanna Main Road, Vignan Nagar, Marathahalli, Bangalore",Chai Darbaar,Yes,No,3.1,7,Marathahalli,Quick Bites,"North Indian, Chinese, Fast Food",300,Delivery,Old Airport Road
"204, 5th Main, 7th Cross, 1st Stage, Indiranagar, Bangalore",Ice Cream Works,Yes,No,3.9,84,Indiranagar,Dessert Parlor,"Ice Cream, Ice Cream",300,Delivery,Old Airport Road
"124, Ground Floor, Surya Chambers, Murgeshpalaya, Old Airport Road, Bangalore",Baskin Robbins,Yes,No,3.7,47,Old Airport Road,Dessert Parlor,"Ice Cream, Desserts",250,Delivery,Old Airport Road
"Near Kanika Jewels, 80 Feet Road, Indiranagar, Bangalore",Premium Bombay Kulfi,Yes,No,3.5,11,Indiranagar,Kiosk,Ice Cream,100,Delivery,Old Airport Road
"1647/1, 2nd Floor, HAL 3rd Stage, Jeevan Bhima Nagar, Bangalore",Kaayal,Yes,No,3.2,254,Jeevan Bhima Nagar,Casual Dining,"Kerala, Chinese",500,Delivery,Old Airport Road
"73/1, Shamanna Gowda Layout, 1st Main Channel Road, Jogupalaya, Indiranagar, Bangalore",Popat,Yes,No,3.2,43,Indiranagar,Quick Bites,North Indian,300,Delivery,Old Airport Road
"17/1 Cambridge Road, Opposite The Frank Antony School, Ulsoor, Bangalore",Paratha Xpress,No,No,3.5,8,Ulsoor,Quick Bites,"North Indian, Chinese",200,Delivery,Old Airport Road
"29th Cross, Opposite SBI Bank, Kaggadasapura, Bangalore",Curries And Pickles,Yes,No,2.9,16,Kaggadasapura,Quick Bites,"Andhra, North Indian, Biryani",350,Delivery,Old Airport Road
"57, B2, Ground Floor, 3rd Cross, SLV Vijaya Arcade, Old Airport Road, Bangalore",Kisna Cafe,Yes,No,3.6,12,Old Airport Road,Quick Bites,"South Indian, North Indian",300,Delivery,Old Airport Road
"322, Shalini Complex, CMH Road, Indiranagar, Bangalore",Kartik's Mithai Shoppe,Yes,No,4.1,112,Indiranagar,"Quick Bites, Sweet Shop","Mithai, Street Food",150,Delivery,Old Airport Road
"155/1, Dena Bank Building, Kodihalli, Old Airport Road, Bangalore",Budget Food,No,Yes,3.5,43,Old Airport Road,Casual Dining,"North Indian, Biryani",700,Delivery,Old Airport Road
"1083,5th Cross, Opposite Corporation Bank, 12th Main, Indiranagar, Bangalore",Bean Flickers,Yes,No,4.3,397,Indiranagar,Cafe,"Cafe, American, Fast Food, Coffee, Continental",700,Delivery,Old Airport Road
"1650, 10th Main Road, Jeevan Bhima Nagar, Bangalore",Spicy Corner,Yes,No,3.9,190,Jeevan Bhima Nagar,Quick Bites,"Street Food, Fast Food",250,Delivery,Old Airport Road
"Opposite Nilgiris Supermarket, Vignan Nagar, Thippasandra, Bangalore",Swad Punjabi Dhaba,No,No,3.6,20,Thippasandra,Quick Bites,North Indian,300,Delivery,Old Airport Road
"5, Bagmane Tech Park Back Gate, Byrasandra Main Road, Near Karanataka Bank ATM, CV Raman Nagar, Bangalore",Spices,Yes,No,3.2,6,CV Raman Nagar,Quick Bites,"South Indian, North Indian, Chinese, Biryani",450,Delivery,Old Airport Road
"649, CMH Road, Indiranagar, Bangalore",Kolkatta Famous Chat,Yes,No,3.7,23,Indiranagar,Quick Bites,"Street Food, North Indian",100,Delivery,Old Airport Road
"The Paul Bangalore, 139/28, Opposite Embassy Golf Links, Off Intermediate Ring Road, Domlur, Bangalore",Sidewalk Cafe & Bar - The Paul Bangalore,Yes,Yes,4.2,217,Domlur,Casual Dining,"European, Italian, Asian",1500,Delivery,Old Airport Road
"3353, 5th Cross, 12th Main, Indiranagar, Bangalore",Cafe Braqa,Yes,Yes,4.1,147,Indiranagar,Cafe,"Cafe, Italian, Continental, Beverages",700,Delivery,Old Airport Road
"Plot 208, 11th Cross, 8th Main, HAL 3rd Stage, Jeevan Bhima Nagar, Bangalore",Johny's Kitchen,Yes,No,4.1,60,Jeevan Bhima Nagar,Quick Bites,"North Indian, South Indian",300,Delivery,Old Airport Road
"8, Malleshpalya Road, Vignan Nagar, Kaggadasapura, Bangalore",Cake Dilim,Yes,No,3.3,8,Kaggadasapura,"Bakery, Quick Bites","Bakery, Desserts",400,Delivery,Old Airport Road
"26, ESI Hospital Road, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",Infinitea Tea Room & Tea Store,Yes,Yes,4.3,771,Indiranagar,"Casual Dining, Cafe","Continental, Cafe, Desserts, Salad, Momos",1000,Delivery,Old Airport Road
"311, 4th Cross Road, Vignan Nagar, Kaggadasapura, Bangalore",Meat and eat,Yes,No,3.2,14,Kaggadasapura,Quick Bites,"Fast Food, Burger",500,Delivery,Old Airport Road
"31, 27th Main, VGS Layout, Ejipura, Bangalore",North Indian Tadka,No,No,3.0,6,Ejipura,Quick Bites,"Chinese, North Indian",200,Delivery,Old Airport Road
"1083, 12th Main, 5th cross, HAL 2nd Stage, Bangalore, Indiranagar, Bangalore",Chantilly,Yes,No,4.1,124,Indiranagar,"Cafe, Bakery","Cafe, Bakery",450,Delivery,Old Airport Road
"220, 2nd Cross, Opposite BDA Complex, 2nd Stage, Indiranagar, Bengaluru",Ideal Kitchen,Yes,No,3.5,26,Indiranagar,Quick Bites,"North Indian, Chinese, South Indian, Seafood",250,Delivery,Old Airport Road
"12th Main Road, Indiranagar, Bangalore",Green G Juice Bar,Yes,No,3.5,39,Indiranagar,Beverage Shop,"Ice Cream, Fast Food, Beverages",200,Delivery,Old Airport Road
"BUILDING # 86, Shop # 3, WOW VADA PAV & CHAAT CHATORE CAFE, 1st Cross BETWEEN 17TH Main Road & 17th B MAIN ROAD, Near Bajaj Kawasaki Service Center, off 100 Feet Road , HAL 2ND STAGE, Indiranagar, Bangalore",Wow Vada Pav,Yes,No,3.6,27,Indiranagar,Quick Bites,"Street Food, American",250,Delivery,Old Airport Road
"3137/A, 7th Main, HAL 2nd Stage, Off Double Road, Indiranagar, Bangalore",Ooty Chocolates,Yes,No,3.9,55,Indiranagar,Dessert Parlor,Desserts,300,Delivery,Old Airport Road
"Citi Nest 91/72, 7th Cross, Eshwara Layout, Indiranagar, Bangalore",Kanteen 038,Yes,No,3.9,54,Indiranagar,Quick Bites,"Tea, Beverages, Fast Food",200,Delivery,Old Airport Road
"806/1, 1st Floor, Rajeshwari Business Chambers, New Thippasandra Main Road, Indiranagar, Bangalore",Cafe Soy,Yes,No,3.8,48,Indiranagar,"Takeaway, Delivery",Asian,250,Delivery,Old Airport Road
"236, Shop 3, Near Hero Honda Show Room, Amarjyoti Layout, Domlur, Bangalore",Galli Belly,Yes,No,3.4,9,Domlur,Quick Bites,"Sandwich, Rolls",200,Delivery,Old Airport Road
"237-240, Ground Floor, 13th Cross, 2nd Stage, Off Double Road, Indiranagar, Bangalore",Sri Krishna Sweets,Yes,No,3.7,33,Indiranagar,Sweet Shop,Mithai,250,Delivery,Old Airport Road
"29, 1st Main Road, LBS Nagar, Hal, Post, Jeevan Bhima Nagar, Bangalore",Delhi Delight Food Cafe,Yes,No,3.1,28,Jeevan Bhima Nagar,Quick Bites,"Chinese, North Indian",200,Delivery,Old Airport Road
"JB Nagar Main Road, Opposite NAL Gate, Jeevan Bhima Nagar, Bangalore",Donne Biriyani Mane,Yes,No,3.8,162,Jeevan Bhima Nagar,Quick Bites,"Biryani, Kebab",400,Delivery,Old Airport Road
"1651, 10th Main, HAL 3rd Stage, Jeevan Bhima Nagar, Bangalore",Brea,Yes,No,3.4,34,Jeevan Bhima Nagar,Bakery,"Bakery, Fast Food",300,Delivery,Old Airport Road
"172, 2nd Cross Road, Indiranagar Double Road, Indiranagar, Bangalore",Wats Ur Scoop?,Yes,No,4.0,56,Indiranagar,Dessert Parlor,"Desserts, Ice Cream",300,Delivery,Old Airport Road
"15, Ground Floor, 1st Main, Near Shanti Sagar, Domlur, Bangalore",Sri Ganesha Fruit Juice Centre,Yes,No,3.2,18,Domlur,Beverage Shop,"Juices, Beverages",100,Delivery,Old Airport Road
"78, B K Plaza, Kaggadasapura Main Road, Vignan Nagar, Bangalore, Kaggadasapura, Bangalore",US Pizza,Yes,No,2.4,63,Kaggadasapura,Quick Bites,"Pizza, Italian, Salad",500,Delivery,Old Airport Road
"4th Main, Malleshpalya, Kaggadasapura, Bangalore",Pait Full,Yes,No,3.8,70,Kaggadasapura,Casual Dining,"North Indian, Chinese, Biryani",750,Delivery,Old Airport Road
"846, Double Road, 1st stage, Indiranagar, Bangalore",Cafe Terra,Yes,No,4.2,402,Indiranagar,Cafe,"Cafe, Continental, Fast Food",500,Delivery,Old Airport Road
"11, Kodihalli, Old Airport Road, Bangalore",Desi Bytes,Yes,No,3.1,96,Old Airport Road,Quick Bites,"North Indian, Chinese",450,Delivery,Old Airport Road
"257/1, JMJ Apartments, 100 Feet Road, Stage 3, Indiranagar, Bangalore",Drunken Monkey,Yes,No,3.9,210,Indiranagar,"Beverage Shop, Quick Bites","Beverages, Fast Food",500,Delivery,Old Airport Road
"15, 4th Cross Govindappa Lane Kodihalli, Indiranagar, Bangalore",Sai Donne Biryani,Yes,No,3.3,9,Indiranagar,Quick Bites,"North Indian, Biryani",300,Delivery,Old Airport Road
"55, 4th Main, 6th Cross, GM Palya, New Thippasandra Post, Thippasandra, Bangalore",Dashabhuja Kitchen & Catering,Yes,No,3.0,12,Thippasandra,"Takeaway, Delivery","North Indian, Chinese",400,Delivery,Old Airport Road
"Sterling Mac Hotel, 134, HAL Old Airport Road, Old Airport Road, Bangalore",20 Char - Sterlings MAC Hotel,No,Yes,4.0,427,Old Airport Road,"Casual Dining, Bar","Chinese, Continental, North Indian, South Indian, Arabian",1400,Delivery,Old Airport Road
"3, Cambridge Layout, Opposite Frank Anthony Public School, Ulsoor, Bangalore",Goli Vada Pav No. 1,Yes,No,3.5,34,Ulsoor,Quick Bites,Street Food,200,Delivery,Old Airport Road
"2010, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",Zaica Dine & Wine,Yes,Yes,4.0,1021,Indiranagar,Casual Dining,North Indian,1200,Delivery,Old Airport Road
"1/1, Yemalur Main, Opposite Ganesha Temple, Behind HAL Airport, Marathahalli, Bangalore",Raja Bhojaun,Yes,No,3.4,20,Marathahalli,"Takeaway, Delivery","Chinese, North Indian, South Indian",250,Delivery,Old Airport Road
"17/4, Cambridge Layout, Ulsoor, Bangalore",Kadamba Foodline,No,No,3.7,33,Ulsoor,Quick Bites,"Chinese, North Indian, South Indian, Street Food",400,Delivery,Old Airport Road
"106, 18th Main, Off 100 Feet Road, Indiranagar, Bangalore",Big Mummy,Yes,No,4.0,223,Indiranagar,Quick Bites,"Fast Food, Biryani",400,Delivery,Old Airport Road
"236,7th Main, Amar Jyothi Layout, Domlur, Bangalore",Rajan's Cafe,No,No,2.8,79,Domlur,Quick Bites,"North Indian, Chinese, Fast Food",300,Delivery,Old Airport Road
"35, NAL Wind Tunnel Road, Opposite Top N Town, Murgeshpalya, Old Airport Road, Bangalore",Status,Yes,No,3.6,120,Old Airport Road,Casual Dining,"Chinese, North Indian",550,Delivery,Old Airport Road
"51, Near ESI Hospital, Double Road, Indiranagar, Bangalore",Meaza Ginger Multi Cuisine Restaurant,Yes,No,3.7,93,Indiranagar,Quick Bites,"North Indian, Chinese",500,Delivery,Old Airport Road
"39, Sector C, Basavanagar Main Road, Vibhuthipura Post, Kaggadasapura, Bangalore",Chellappa's,Yes,No,3.2,115,Kaggadasapura,Casual Dining,"Chettinad, South Indian, North Indian",500,Delivery,Old Airport Road
"158/2&3, 1st Floor, Namjoshi Road, Vignan Nagar, Kaggadasapura, Bangalore",Ice Creamist,Yes,No,3.2,25,Kaggadasapura,Dessert Parlor,"Ice Cream, Desserts",300,Delivery,Old Airport Road
"1/7, 2nd Floor, 21st Cross, Ejipura Main Road, Ejipura, Bangalore",Guns N Roses,Yes,No,3.6,23,Ejipura,Quick Bites,"Fast Food, Biryani",300,Delivery,Old Airport Road
"74/2, Kaggadasapura Main Road, Kondappa Layout, Malleshpalya, Kaggadasapura, Bangalore",Fire And Ice,Yes,No,3.7,19,Kaggadasapura,"Dessert Parlor, Quick Bites","Desserts, Fast Food",300,Delivery,Old Airport Road
"236, Shop No 1, Amarjyothi Layout, Domlur, Bangalore",DVG Benne Dosa,Yes,No,4.1,29,Domlur,Quick Bites,South Indian,150,Delivery,Old Airport Road
"493, 13th Cross, 2nd Stage, Behind BDA Complex, Indiranagar, Bangalore",Chetty's Coffee,Yes,No,3.9,45,Indiranagar,Quick Bites,South Indian,150,Delivery,Old Airport Road
"86 B Vaastra, 1st Floor, 7th Cross Road, Micheal Palya, New Thippasandra Post, 80 Feet Road, Indiranagar, Bangalore",The Table,Yes,No,3.8,42,Indiranagar,Bakery,"Bakery, Desserts",400,Delivery,Old Airport Road
"20th, J cross, Ejipura Rama temple road, Bangalore",Kevins Kitchen,Yes,No,3.8,105,Koramangala 6th Block,Quick Bites,"North Indian, Chinese, Biryani",400,Delivery,Old Airport Road
"51, 4th Main Road, Malleshpalya, Vignana Nagar, Kaggadasapura, Bangalore",House of Torte,Yes,No,3.8,60,Kaggadasapura,"Bakery, Cafe","Bakery, Cafe, Burger, Fast Food",450,Delivery,Old Airport Road
"6/1, Ejipura Pipeline Road, Ejipura, Bangalore",A3 Nuwang Kitchen,Yes,No,3.7,42,Ejipura,Quick Bites,"Chinese, North Indian",300,Delivery,Old Airport Road
"121, ATR Complex, Opposite ISRO, Murugeshpalya, Old Airport Road, Bangalore",Suchithra Biryani House,No,No,3.7,287,Old Airport Road,Casual Dining,"Andhra, Biryani, North Indian",450,Delivery,Old Airport Road
